,nsites,nelements,volume,density,density_atomic,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,equilibrium_reaction_energy_per_atom,band_gap,efermi,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,k_voigt,k_reuss,k_vrh,g_voigt,g_reuss,g_vrh,universal_anisotropy,homogeneous_poisson
mp-30551,4,3,45.51183709665288,8.881916014299259,11.37795927416322,-6.6697449825,-6.6697449825,-0.24105677687500027,0.0,-0.06609360750000004,0.0,5.65315769,5.0977669,0.11200969297666319,5.0977669,3,2,191.11803769188805,191.1180376918881,191.11803769188808,93.92924685384425,68.34195600252808,81.13560142818616,1.8720045743473932,0.314048411387887
mp-866218,4,3,55.4364705365894,7.595639040676294,13.85911763414735,-8.6520633325,-8.6520633325,-0.5727365336494259,0.0,-0.050673134062499514,0.0,7.04177257,1.62e-05,2.9222639614669575e-07,1.62e-05,0,0,189.7642702639613,189.7642702639613,189.7642702639613,85.367440497013,77.26035189402556,81.31389619551928,0.5246603467524693,0.3125275331727552
mp-862711,4,3,88.48457635376688,5.951599132488766,22.12114408844172,-4.45883625,-4.45883625,-0.37395832499999937,0.0,-0.012443572499999611,0.0,5.20432491,0.6159923,0.006961578225082123,0.6159923,2,1,67.37373089148315,67.37373089148313,67.37373089148315,40.77380007611869,21.113568359716428,30.943684217917557,4.655828749893585,0.30084718493077894
mp-11718,2,2,44.66769821355681,3.8835717641775656,22.333849106778406,-4.089544995,-4.320544995,-2.8745384749999996,0.0,-1.6641778274999997,5.5244,-2.58431129,0.0,0.0,0.0,0,0,23.5960160017378,23.596016001737798,23.5960160017378,14.266012915163087,13.011840328607692,13.638926621885389,0.4819351278842481,0.2576794617693018
mp-30227,9,3,254.33588374009756,3.7051212710843573,28.259542637788616,-4.265773116666667,-4.6751064499999995,-1.785059968333333,0.0,-0.03717702435185277,0.0,1.4022436,2.0,0.007863617082219406,2.0,1,1,9.622750497414614,9.622750497414613,9.622750497414614,4.66503835633197,3.9054871871269943,4.2852627717294824,0.972415389952574,0.30611726086066315
mp-865385,4,2,54.07826695263613,10.410375226171238,13.519566738159032,-10.1903725125,-10.1903725125,-0.2663111637500002,0.0,-0.13412946499999912,0.0,6.36230616,0.0042332,7.827913575166163e-05,0.0042332,0,0,236.36966456094265,236.36966456094268,236.36966456094268,72.54118947993729,68.43095780268348,70.48607364131038,0.300319607472499,0.3643794517263079
mp-861983,4,3,57.12701225514282,6.002932896432338,14.281753063785706,-8.6942034625,-8.6942034625,-0.3384483286494273,0.0,-0.010777234383336776,0.0,6.19035032,2.1694268,0.03797549905657282,2.1694268,4,3,179.95828633955585,179.95828633955583,179.95828633955585,82.77941853202107,73.54757423157248,78.16349638179678,0.6276103866717024,0.31029454960489483
mp-867170,4,3,54.05185064676748,14.34165091968726,13.51296266169187,-4.984505535,-4.984505535,-0.7146841527083332,0.0,-0.09596863312500048,0.0,5.87052042,4e-07,7.4003016587540585e-09,4e-07,0,0,153.37847027938056,153.3784702793805,153.37847027938054,-10.328474486522055,208.6497924726419,99.16065899305993,-5.24750742294355,0.23405679654698686
mp-23295,2,2,72.44443938610804,2.7716925421197955,36.22221969305402,-3.35240788,-3.65940788,-2.24487251375,0.0,-2.24487251375,4.8388,-1.81796229,9.7e-05,1.3389571487056153e-06,9.7e-05,0,0,14.623403566349403,14.623403566349399,14.6234035663494,8.425049870061967,6.917202567892538,7.671126218977252,1.08992565084647,0.2767483341232139
mp-864640,4,3,67.0997207757397,16.011997462683787,16.774930193934924,-11.0524193975,-11.0524193975,-0.3885957774999991,0.0,-0.03987261124999719,0.0,6.9070298,3.2e-06,4.769021335714677e-08,3.2e-06,0,0,237.17043672761645,237.1704367276165,237.17043672761648,107.83934611477753,105.3894072627679,106.61437668877272,0.11623268958621136,0.304526898984589
